Service Name,Category,Price,Cost,Description
HV Single Bed,Hydrovacuum,70000,17500,Hydrovacuum
HV Queen Bed,Hydrovacuum,80000,20000,Hydrovacuum
HV King Bed,Hydrovacuum,90000,22500,Hydrovacuum
HV Super King Bed,Hydrovacuum,100000,25000,Hydrovacuum
HV Sisi Balik Single Bed,Hydrovacuum,30000,7500,Hydrovacuum
HV Sisi Balik Queen Bed,Hydrovacuum,40000,10000,Hydrovacuum
HV Sisi Balik King Bed,Hydrovacuum,50000,12500,Hydrovacuum
HV Sisi Balik Super King Bed,Hydrovacuum,60000,15000,Hydrovacuum
HV Divan Full Single Bed,Hydrovacuum,60000,15000,Hydrovacuum
HV Divan Full Queen Bed,Hydrovacuum,70000,17500,Hydrovacuum
HV Divan Full King Bed,Hydrovacuum,80000,20000,Hydrovacuum
HV Divan Full Super King Bed,Hydrovacuum,90000,22500,Hydrovacuum
HV Divan Full Kombinasi Single Bed,Hydrovacuum,30000,7500,Hydrovacuum
HV Divan Full Kombinasi Queen Bed,Hydrovacuum,40000,10000,Hydrovacuum
HV Divan Full Kombinasi King Bed,Hydrovacuum,50000,12500,Hydrovacuum
HV Divan Full Kombinasi Super King Bed,Hydrovacuum,60000,15000,Hydrovacuum
HV Headboard Single Bed,Hydrovacuum,30000,7500,Hydrovacuum
HV Headboard Queen Bed,Hydrovacuum,40000,10000,Hydrovacuum
HV Headboard King Bed,Hydrovacuum,50000,12500,Hydrovacuum
HV Headboard Super King Bed,Hydrovacuum,60000,15000,Hydrovacuum
HV Matras Tebal/Lipat Single,Hydrovacuum,50000,12500,Hydrovacuum
HV Matras Tebal/Lipat Queen,Hydrovacuum,60000,15000,Hydrovacuum
HV Matras Tipis,Hydrovacuum,30000,7500,Hydrovacuum
HV Bantal / Guling,Hydrovacuum,10000,2500,Hydrovacuum
HV Sofa Single Standard,Hydrovacuum,40000,10000,Hydrovacuum
HV Sofa Single Jumbo,Hydrovacuum,50000,12500,Hydrovacuum
HV Sofa Panjang / Seat Standard,Hydrovacuum,35000,8750,Hydrovacuum
HV Sofa Panjang / Seat Jumbo,Hydrovacuum,40000,10000,Hydrovacuum
HV Sofa Bed Standard,Hydrovacuum,80000,20000,Hydrovacuum
HV Sofa Bed Jumbo,Hydrovacuum,90000,22500,Hydrovacuum
HV Sofa Mini Single Standard,Hydrovacuum,25000,6250,Hydrovacuum
HV Sofa Mini Single Jumbo,Hydrovacuum,30000,7500,Hydrovacuum
HV Bantalan Sofa Standard,Hydrovacuum,10000,2500,Hydrovacuum
HV Bantalan Sofa Jumbo,Hydrovacuum,15000,3750,Hydrovacuum
HV Bantal Sofa S ,Hydrovacuum,5000,1250,Hydrovacuum
HV Bantal Sofa L,Hydrovacuum,10000,2500,Hydrovacuum
HV Kursi Makan Standard,Hydrovacuum,20000,5000,Hydrovacuum
HV Kursi Makan Jumbo,Hydrovacuum,20000,5000,Hydrovacuum
